company,page,clusters,rmse
Barclays,4,32,0.765578142845112
Barclays,4,35,0.6966987432778737
Barclays,4,39,0.6908990242483873
Barclays,4,42,0.7421343750950322
Barclays,4,45,0.7037912462062014
Barclays,4,49,0.6936003118597415
Barclays,4,52,0.7252351668502196
Barclays,4,56,0.7021546265407896
Barclays,4,59,0.7852817165888831
Barclays,4,62,0.7233707682713911
Barclays,4,66,0.6812011326923414
Barclays,4,69,0.6875314990262914
Barclays,4,72,0.7203043147558394
Barclays,4,76,0.736896602605636
Barclays,4,79,0.7529224546211449
Barclays,4,83,0.7404015401501118
Barclays,4,86,0.7500065623927533
Barclays,4,89,0.7039489640820965
Barclays,4,93,0.6669242329754682
Barclays,4,96,0.6739056436160809
Barclays,4,100,0.6862606772545912
Barclays,5,2,0.7590296802494236
Barclays,5,5,0.7442645721040675
Barclays,5,8,0.7987788100613123
Barclays,5,12,0.7552435803452536
Barclays,5,15,0.754702321717037
Barclays,5,18,0.7607919406143319
Barclays,5,22,0.782318650983819
Barclays,5,25,0.7966170904366504
Barclays,5,29,0.7754266228990543
Barclays,5,32,0.7782104001657539
Barclays,5,35,0.7421608440575369
Barclays,5,39,0.7771255782264198
Barclays,5,42,0.8047847320229263
Barclays,5,45,0.7967668491868288
Barclays,5,49,0.8158469727263898
Barclays,5,52,0.7789580033305649
Barclays,5,56,0.7991425838192209
Barclays,5,59,0.7978232592196219
Barclays,5,62,0.7579346933059572
Barclays,5,66,0.8261158561971622
Barclays,5,69,0.792462929825749
Barclays,5,72,0.8147290488226646
Barclays,5,76,0.762002595875173
Barclays,5,79,0.8188306663078285
Barclays,5,83,0.769434322055497
Barclays,5,86,0.7913377378812899
Barclays,5,89,0.8133940982539356
Barclays,5,93,0.8487524420899973
Barclays,5,96,0.8651490566105718
Barclays,5,100,0.8408660893525508
Barclays,6,2,0.7741401284474905
Barclays,6,5,0.883392612198318
Barclays,6,8,0.8010216546132984
Barclays,6,12,0.8365484059741849
Barclays,6,15,0.8113271081038431
Barclays,6,18,0.8844808274104594
Barclays,6,22,0.7572374281392746
Barclays,6,25,0.8297183088524038
Barclays,6,29,0.9097644589766675
Barclays,6,32,0.7262561894404514
Barclays,6,35,0.8380822852085179
Barclays,6,39,0.8550192645589705
Barclays,6,42,0.850492344677303
Barclays,6,45,0.7664114626418919
Barclays,6,49,0.8087804476623865
Barclays,6,52,0.7397549132413781
Barclays,6,56,0.7854229407705522
Barclays,6,59,0.7904414454459321
Barclays,6,62,0.7539555221984285
Barclays,6,66,0.850972019174893
Barclays,6,69,0.8048148961054215
Barclays,6,72,0.7982056900082626
Barclays,6,76,0.9460671704126182
Barclays,6,79,0.7869806246987738
Barclays,6,83,0.7912299607776703
Barclays,6,86,0.7808284714954801
Barclays,6,89,0.7895816652000457
Barclays,6,93,0.7662234946216523
Barclays,6,96,0.764817057447582
Barclays,6,100,0.8598799896307056
Barclays,7,2,0.7620980193585891
Barclays,7,5,0.8736227050311463
Barclays,7,8,0.8906075589260906
Barclays,7,12,0.7667176148711266
Barclays,7,15,0.731155943237521
Barclays,7,18,0.7648650800043139
Barclays,7,22,0.7940009498100519
Barclays,7,25,0.7790760793688888
Barclays,7,29,0.9459876015842863
Barclays,7,32,0.8231473621930269
Barclays,7,35,0.7295654788109314
Barclays,7,39,0.750124844230047
Barclays,7,42,0.7523556931535388
Barclays,7,45,0.7600352418613358
Barclays,7,49,0.7772598097988324
Barclays,7,52,0.8099864174511133
Barclays,7,56,0.8234455662366335
Barclays,7,59,0.792323491791325
Barclays,7,62,0.7846844622617575
Barclays,7,66,0.7422984762753815
Barclays,7,69,0.8040537509543677
Barclays,7,72,0.7904385867317756
Barclays,7,76,0.8251712876033683
Barclays,7,79,0.7627194231815433
Barclays,7,83,0.7790668014516688
Barclays,7,86,0.7594970015227301
Barclays,7,89,0.8395266168567586
Barclays,7,93,0.7536131805121146
Barclays,7,96,0.8214446395494103
Barclays,7,100,0.7454149101033649
Barclays,8,2,0.7036615701236989
Barclays,8,5,0.913584791911203
Barclays,8,8,0.8594102287607092
Barclays,8,12,0.8043143675953446
Barclays,8,15,0.7948475909743115
Barclays,8,18,0.7054351643725935
Barclays,8,22,0.7839554212583194
Barclays,8,25,0.7930553487187685
Barclays,8,29,0.7568142229952282
Barclays,8,32,0.867656453931332
Barclays,8,35,0.8232715141365022
Barclays,8,39,0.7570451619755733
Barclays,8,42,0.7530234174186755
Barclays,8,45,0.7405947978073849
Barclays,8,49,0.8304621247794712
Barclays,8,52,0.7462055317676823
Barclays,8,56,0.7025525861684835
Barclays,8,59,0.8049135313100053
Barclays,8,62,0.8192779251736121
Barclays,8,66,0.7736694720731893
Barclays,8,69,0.8089912597396668
Barclays,8,72,0.8282403519664573
Barclays,8,76,0.8132936253306146
Barclays,8,79,0.8406026673737023
Barclays,8,83,0.7934863104763046
Barclays,8,86,0.7990127068189319
Barclays,8,89,0.8041470833899013
Barclays,8,93,0.7877930973838217
Barclays,8,96,0.7768780885643565
Barclays,8,100,0.845952896060658
Barclays,9,2,0.7437852933190702
Barclays,9,5,0.7207418464233978
Barclays,9,8,0.8815414286111289
Barclays,9,12,0.848495538969785
Barclays,9,15,0.874886026254819
Barclays,9,18,0.7629939746248035
Barclays,9,22,0.8158619605182544
Barclays,9,25,0.7939163027827406
Barclays,9,29,0.7592120123071926
Barclays,9,32,0.7735493283026352
Barclays,9,35,0.762545488926546
Barclays,9,39,0.886467124172303
Barclays,9,42,0.7450458165530565
Barclays,9,45,0.7335055095403543
Barclays,9,49,0.7217790907373651
Barclays,9,52,0.7889727781983125
Barclays,9,56,0.775016130204726
Barclays,9,59,0.7590235872228013
Barclays,9,62,0.7863377521917332
Barclays,9,66,0.761279291806358
Barclays,9,69,0.7745916699591683
Barclays,9,72,0.775518036727354
Barclays,9,76,0.8602127196559306
Barclays,9,79,0.7325018419854766
Barclays,9,83,0.8281113399157123
Barclays,9,86,0.7720099652930633
Barclays,9,89,0.7284786106031764
Barclays,9,93,0.8312988400607827
Barclays,9,96,0.7911078623320181
Barclays,9,100,0.8208619733975672
Barclays,10,2,0.841461096282322
Barclays,10,5,0.6885646584752868
Barclays,10,8,0.7859622601741295
Barclays,10,12,0.7471513865814159
Barclays,10,15,0.7396489746902255
Barclays,10,18,0.7832681211965827
Barclays,10,22,0.7961612473993136
Barclays,10,25,0.8201401254302803
Barclays,10,29,0.7196486498643926
Barclays,10,32,0.6730743692543787
Barclays,10,35,0.7286009871284493
Barclays,10,39,0.7748750317166389
Barclays,10,42,0.7273383053601025
Barclays,10,45,0.6864775978354273
Barclays,10,49,0.7902606956876255
Barclays,10,52,0.6939181827675862
Barclays,10,56,0.7672034373899103
Barclays,10,59,0.726320400832872
Barclays,10,62,0.7372098657668301
Barclays,10,66,0.7377858213608968
Barclays,10,69,0.7587990667375081
Barclays,10,72,0.7413019535906613
Barclays,10,76,0.7180628859331124
Barclays,10,79,0.7653761165732723
Barclays,10,83,0.7235354325406365
Barclays,10,86,0.7003838652545836
Barclays,10,89,0.7215778403127717
Barclays,10,93,0.7232315477543163
Barclays,10,96,0.7341498427755216
