--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       1.408us         0.04%       1.408us       1.408us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.824us         0.05%       1.824us       1.824us           0 B           0 B           0 B           0 B             1  
                         volta_sgemm_32x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us       6.848us         0.18%       6.848us       6.848us           0 B           0 B           0 B           0 B             1  
                         volta_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      22.848us         0.59%      22.848us       7.616us           0 B           0 B           0 B           0 B             3  
                                  volta_sgemm_128x32_tn         0.00%       0.000us         0.00%       0.000us       0.000us      15.360us         0.40%      15.360us       7.680us           0 B           0 B           0 B           0 B             2  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.432us         0.06%       2.432us       2.432us           0 B           0 B           0 B           0 B             1  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.136us         0.08%       3.136us       3.136us           0 B           0 B           0 B           0 B             1  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       2.624us         0.07%       2.624us       2.624us           0 B           0 B           0 B           0 B             1  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.208us         0.06%       2.208us       2.208us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 12.552ms
Self CUDA time total: 3.863ms


--- Iteration 1 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        25.28%       3.021ms        25.28%       3.021ms       5.899us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           512  
                                        cudaMemcpyAsync        17.12%       2.045ms        17.12%       2.045ms     120.308us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            17  
                                Activity Buffer Request        16.77%       2.004ms        16.77%       2.004ms       2.004ms       1.376us         0.03%       1.376us       1.376us           0 B           0 B           0 B           0 B             1  
                                     PythonDispatchMode        14.30%       1.708ms        85.62%      10.229ms     444.735us       0.000us         0.00%       4.080ms     177.407us           0 B           0 B       2.63 MB           0 B            23  
                                  Hokus Pokus attention        10.82%       1.292ms        98.06%      11.715ms      11.715ms       0.000us         0.00%       4.080ms       4.080ms           0 B           0 B       1.21 MB      -1.42 MB             1  
                                      aten::_linalg_svd         4.54%     542.050us       129.51%      15.472ms       7.736ms       3.977ms        97.49%       7.981ms       3.991ms           0 B          -4 B     416.00 KB      63.50 KB             2  
                                            aten::addmm         2.24%     267.185us         9.17%       1.096ms     182.595us      35.711us         0.88%      71.422us      11.904us           0 B           0 B       1.91 MB     980.00 KB             6  
                                               aten::mm         1.61%     191.831us         6.64%     793.217us      99.152us      42.720us         1.05%      85.440us      10.680us           0 B           0 B       1.11 MB     566.50 KB             8  
                                         aten::_softmax         0.84%     100.123us         2.19%     262.147us     131.074us       3.392us         0.08%       6.784us       3.392us           0 B           0 B     101.00 KB      50.50 KB             2  
                                             aten::relu         0.68%      81.205us         2.56%     306.214us     153.107us       0.000us         0.00%       8.192us       4.096us           0 B           0 B       1.72 MB           0 B             2  
                                            aten::copy_         0.53%      63.389us         1.19%     142.733us      28.547us      11.681us         0.29%      11.681us       2.336us           0 B           0 B           0 B           0 B             5  
                                                aten::t         0.36%      43.298us         2.08%     249.035us      41.506us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                            aten::slice         0.35%      41.850us         1.98%     236.187us      39.365us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                  cudaStreamSynchronize         0.27%      32.606us         0.27%      32.606us       2.717us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12  
                                            aten::fill_         0.25%      29.475us        20.77%       2.481ms       1.241ms       3.264us         0.08%       4.640us       2.320us           0 B           0 B           0 B           0 B             2  
                                        aten::clamp_min         0.24%      29.023us         0.49%      58.708us      58.708us       4.096us         0.10%       4.096us       4.096us           0 B           0 B     879.00 KB     879.00 KB             1  
                                           aten::linear         0.23%      27.552us         8.58%       1.025ms     341.748us       0.000us         0.00%      35.711us      11.904us           0 B           0 B     980.00 KB           0 B             3  
                                        cudaMemsetAsync         0.22%      26.236us         0.22%      26.236us       6.559us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
                                          aten::permute         0.22%      26.020us         1.22%     145.834us      36.459us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
                                        aten::transpose         0.21%      24.519us         0.29%      35.137us       7.027us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                            aten::empty         0.20%      24.314us         0.20%      24.314us       8.105us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     152.00 KB     152.00 KB             3  
                                              aten::any         0.20%      23.503us         0.78%      93.566us      93.566us       0.000us         0.00%       4.961us       4.961us           0 B           0 B         512 B           0 B             1  
                              aten::_local_scalar_dense         0.19%      22.665us         0.34%      40.710us      40.710us       1.440us         0.04%       1.440us       1.440us           0 B           0 B           0 B           0 B             1  
                                       aten::as_strided         0.18%      21.018us         0.18%      21.018us       1.911us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            11  
                                       aten::diag_embed         0.16%      18.806us         1.89%     225.787us     112.893us       0.000us         0.00%       7.488us       3.744us           0 B           0 B      16.00 KB           0 B             2  
                                           aten::matmul         0.15%      17.940us         4.87%     581.899us     145.475us       0.000us         0.00%      42.720us      10.680us           0 B           0 B     566.50 KB           0 B             4  
                                            aten::zeros         0.14%      17.088us        21.13%       2.524ms       1.262ms       0.000us         0.00%       4.640us       2.320us           0 B           0 B       8.50 KB           0 B             2  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.14%      16.998us         0.14%      16.998us       2.428us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             7  
                             aten::_linalg_check_errors         0.12%      14.057us         1.30%     155.316us     155.316us       0.000us         0.00%       6.401us       6.401us           0 B           0 B         512 B           0 B             1  
                                         aten::_to_copy         0.11%      13.516us         0.72%      85.808us      42.904us       0.000us         0.00%       4.865us       2.432us           4 B           0 B         512 B           0 B             2  
                                  cudaDeviceSynchronize         0.10%      12.494us         0.10%      12.494us       6.247us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                    aten::empty_strided         0.10%      12.226us         0.10%      12.226us       6.113us       0.000us         0.00%       0.000us       0.000us           4 B           4 B         512 B         512 B             2  
                                                 detach         0.10%      11.932us         0.61%      72.893us      18.223us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             4  
                                           aten::detach         0.10%      11.570us         0.71%      84.463us      14.077us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                       aten::linalg_svd         0.10%      11.473us        65.15%       7.783ms       7.783ms       0.000us         0.00%       3.991ms       3.991ms           0 B           0 B     208.00 KB           0 B             1  
                                             aten::diag         0.09%      10.594us         1.24%     148.570us     148.570us       0.000us         0.00%       3.744us       3.744us           0 B           0 B       8.00 KB           0 B             1  
                                       aten::transpose_         0.09%      10.399us         0.13%      15.822us      15.822us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                            aten::zero_         0.08%       9.967us        20.85%       2.491ms       1.246ms       0.000us         0.00%       4.640us       2.320us           0 B           0 B           0 B           0 B             2  
                                            aten::clone         0.08%       9.250us         0.52%      61.700us      61.700us       0.000us         0.00%       3.456us       3.456us           0 B           0 B     143.50 KB           0 B             1  
                                          aten::numpy_T         0.07%       8.539us         1.18%     140.537us      70.268us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                          aten::softmax         0.07%       8.189us         1.86%     222.434us     222.434us       0.000us         0.00%       3.392us       3.392us           0 B           0 B      50.50 KB           0 B             1  
                                             aten::item         0.06%       6.983us         0.40%      47.693us      47.693us       0.000us         0.00%       1.440us       1.440us           0 B           0 B           0 B           0 B             1  
                                               aten::to         0.05%       6.152us         0.77%      91.960us      45.980us       0.000us         0.00%       4.865us       2.432us           4 B           0 B         512 B           0 B             2  
                                          aten::view_as         0.05%       6.141us         0.07%       8.584us       8.584us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                      aten::as_strided_         0.05%       5.423us         0.05%       5.423us       5.423us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                         aten::diagonal         0.04%       4.702us         0.05%       6.137us       6.137us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                        cudaEventRecord         0.04%       4.349us         0.04%       4.349us       4.349us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                               aten::mT         0.04%       4.266us         0.13%      15.565us       7.783us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                       aten::empty_like         0.03%       3.600us         0.10%      11.848us      11.848us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     143.50 KB           0 B             1  
                                             aten::view         0.02%       2.443us         0.02%       2.443us       2.443us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                  Hokus Pokus attention         0.00%       0.000us         0.00%       0.000us       0.000us       8.842ms       216.78%       8.842ms       8.842ms           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.376us         0.03%       1.376us       1.376us           0 B           0 B           0 B           0 B             1  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.312us         0.13%       5.312us       2.656us           0 B           0 B           0 B           0 B             2  
