--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        50.01%       1.832ms        50.01%       1.832ms       1.832ms       3.104us         5.63%       3.104us       3.104us           0 B           0 B           0 B           0 B             1  
                                     PythonDispatchMode        19.20%     703.250us        95.09%       3.484ms     316.685us       0.000us         0.00%      58.272us       5.297us     312.00 KB           8 B     678.00 KB           0 B            11  
                                       cudaLaunchKernel         9.16%     335.602us         9.16%     335.602us      67.120us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                        cudaMemcpyAsync         7.67%     281.068us         7.67%     281.068us     140.534us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                               aten::mm         3.15%     115.487us        11.98%     438.827us     109.707us      17.344us        31.44%      34.688us       8.672us           0 B           0 B     422.00 KB     211.00 KB             4  
                                         aten::_softmax         1.69%      61.906us         3.95%     144.583us      72.291us       2.144us         3.89%       4.288us       2.144us           0 B           0 B     110.00 KB      55.00 KB             2  
                                              aten::cat         1.24%      45.512us       119.22%       4.367ms       2.184ms       3.104us         5.63%      12.416us       6.208us           0 B           0 B     624.00 KB     312.00 KB             2  
                                              aten::div         1.02%      37.314us         4.02%     147.191us      73.595us       2.016us         3.65%       4.032us       2.016us          -8 B          -8 B     110.00 KB      55.00 KB             2  
                                         aten::_to_copy         0.92%      33.572us        25.03%     916.847us     229.212us       0.000us         0.00%      61.120us      15.280us     624.00 KB           0 B      90.00 KB           0 B             4  
                                    aten::empty_strided         0.89%      32.612us         0.89%      32.612us      16.306us       0.000us         0.00%       0.000us       0.000us     312.00 KB     312.00 KB      45.00 KB      45.00 KB             2  
                                            aten::copy_         0.85%      31.318us         8.95%     327.694us     163.847us      30.560us        55.39%      30.560us      15.280us           0 B           0 B           0 B           0 B             2  
                                            aten::slice         0.50%      18.411us         0.62%      22.653us      11.326us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                            aten::split         0.46%      16.790us         4.27%     156.395us      78.198us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                  cudaStreamSynchronize         0.42%      15.308us         0.42%      15.308us       7.654us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                          aten::permute         0.32%      11.761us         1.51%      55.380us      27.690us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                               aten::to         0.32%      11.555us        14.87%     544.773us     181.591us       0.000us         0.00%      30.560us      10.187us     312.00 KB           0 B      45.00 KB           0 B             3  
                                  cudaDeviceSynchronize         0.29%      10.693us         0.29%      10.693us       5.347us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                           aten::narrow         0.25%       9.024us         0.86%      31.677us      15.838us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                       aten::lift_fresh         0.24%       8.956us         3.08%     112.807us      56.404us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                           aten::matmul         0.22%       7.896us         8.50%     311.248us     155.624us       0.000us         0.00%      17.344us       8.672us           0 B           0 B     211.00 KB           0 B             2  
                                            aten::chunk         0.18%       6.722us         3.42%     125.122us     125.122us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.17%       6.330us         0.17%       6.330us       3.165us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                           aten::detach         0.16%       5.878us         1.59%      58.322us      19.441us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                                 detach         0.15%       5.637us         1.43%      52.444us      26.222us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                       aten::as_strided         0.14%       5.273us         0.14%       5.273us       1.758us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
