--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         0.15%      21.505us         1.36%     189.016us      18.902us       0.000us         0.00%      10.208us       1.021us           8 B           0 B       1.50 KB           0 B            10  
                             aten::_linalg_check_errors         0.14%      19.796us         3.03%     421.708us     105.427us       0.000us         0.00%      20.895us       5.224us           0 B           0 B         512 B      -1.00 KB             4  
                                           aten::matmul         0.13%      18.816us         5.16%     718.611us     143.722us       0.000us         0.00%      49.792us       9.958us           0 B           0 B     274.50 KB           0 B             5  
                                        aten::transpose         0.12%      17.041us         0.17%      23.944us       3.991us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                       aten::as_strided         0.12%      16.548us         0.12%      16.548us       1.379us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            12  
                                     aten::linalg_solve         0.11%      15.813us         4.21%     586.641us     586.641us       0.000us         0.00%     125.219us     125.219us           0 B           0 B      31.00 KB        -512 B             1  
                                                 detach         0.10%      13.648us         0.10%      13.648us       1.950us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             7  
                                            aten::zeros         0.09%      13.029us         8.83%       1.231ms     410.289us       0.000us         0.00%       6.912us       2.304us           0 B           0 B       1.50 KB           0 B             3  
                                          aten::softmax         0.08%      11.582us         2.35%     326.973us     108.991us       0.000us         0.00%      10.720us       3.573us           0 B           0 B     109.00 KB           0 B             3  
                                            aten::zero_         0.08%      11.444us         8.84%       1.233ms     308.131us       0.000us         0.00%       8.832us       2.208us           0 B           0 B           0 B           0 B             4  
                                  cudaDeviceSynchronize         0.08%      11.098us         0.08%      11.098us       5.549us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                          aten::numpy_T         0.07%      10.342us         1.12%     156.643us      52.214us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                           aten::detach         0.07%       9.828us         0.17%      23.476us       3.354us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             7  
                                  aten::linalg_solve_ex         0.07%       9.068us         2.94%     410.436us     410.436us       0.000us         0.00%     120.451us     120.451us           0 B           0 B      31.50 KB           0 B             1  
                                               aten::mT         0.06%       8.825us         0.24%      32.769us       5.461us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                            aten::clone         0.05%       7.659us         0.45%      63.230us      31.615us       0.000us         0.00%       6.240us       3.120us           0 B           0 B     286.00 KB           0 B             2  
                                          aten::view_as         0.05%       7.584us         0.09%      12.481us       4.160us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                       aten::linalg_svd         0.05%       7.061us        81.38%      11.344ms       5.672ms       0.000us         0.00%       8.114ms       4.057ms           0 B           0 B     415.00 KB           0 B             2  
                                       aten::transpose_         0.05%       6.542us         0.08%      11.675us       5.837us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                          aten::resize_         0.04%       5.994us         0.04%       5.994us       5.994us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       8.00 KB       8.00 KB             1  
                                             aten::item         0.04%       5.438us         0.47%      66.095us      22.032us       0.000us         0.00%       4.384us       1.461us           0 B           0 B           0 B           0 B             3  
                                      aten::as_strided_         0.04%       5.133us         0.04%       5.133us       2.567us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
