-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us     578.935ms        10.80%     578.935ms       4.417us           0 B           0 B           0 B           0 B        131066  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     487.110ms         9.09%     487.110ms       1.703ms           0 B           0 B           0 B           0 B           286  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us     449.471ms         8.39%     449.471ms       3.429us           0 B           0 B           0 B           0 B        131066  
void geqr2_smem_domino_fast<float, float, 8, 512>(in...         0.00%       0.000us         0.00%       0.000us       0.000us     446.352ms         8.33%     446.352ms     436.316us           0 B           0 B           0 B           0 B          1023  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     402.373ms         7.51%     402.373ms     124.961us           0 B           0 B           0 B           0 B          3220  
void svd_column_rotate_batch<float, 5, 3>(long, int ...         0.00%       0.000us         0.00%       0.000us       0.000us     386.232ms         7.21%     386.232ms       3.883us           0 B           0 B           0 B           0 B         99456  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us     227.380ms         4.24%     227.380ms       4.572us           0 B           0 B           0 B           0 B         49728  
                                            aten::copy_         1.41%     118.596ms         4.14%     347.954ms      13.851us     118.031ms         2.20%     118.035ms       4.698us           0 B           0 B           0 B           0 B         25122  
                                               aten::to         0.40%      33.619ms         6.56%     551.626ms      22.603us       0.000us         0.00%     110.733ms       4.537us     222.44 MB           0 B       7.60 GB           0 B         24405  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.408s
Self CUDA time total: 5.359s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Hokus Pokus prefill         1.36%     114.103ms        69.70%        5.844s        5.844s       0.000us         0.00%       16.531s       16.531s     209.78 MB           0 B     375.64 MB      -7.21 GB             1  
                                       aten::linalg_svd         0.02%       1.273ms        62.89%        5.273s     164.795ms       0.000us         0.00%       15.941s     498.153ms           0 B           0 B     217.50 MB           0 B            32  
