page,method,threshold,k,rel_mse
3,method_2,0.67,18,0.18569296598434448
3,method_2,0.6799999999999999,19,0.1819814294576645
3,method_2,0.69,20,0.17615558207035065
3,method_2,0.7,21,0.17506097257137299
3,method_2,0.71,22,0.17392036318778992
3,method_2,0.72,23,0.16808849573135376
3,method_2,0.73,24,0.15937896072864532
3,method_2,0.74,25,0.15637600421905518
3,method_2,0.75,26,0.1524745523929596
3,method_2,0.76,27,0.14156277477741241
3,method_2,0.77,28,0.14599816501140594
3,method_2,0.78,30,0.14369109272956848
3,method_2,0.79,31,0.14099347591400146
3,method_2,0.8,33,0.1321364790201187
3,method_2,0.81,34,0.12281584739685059
3,method_2,0.8200000000000001,36,0.11620236188173294
3,method_2,0.8300000000000001,38,0.10743995755910873
3,method_2,0.8400000000000001,40,0.10326790809631348
3,method_2,0.8500000000000001,42,0.09347100555896759
3,method_2,0.86,44,0.0936957523226738
3,method_2,0.87,46,0.09126470983028412
3,method_2,0.88,48,0.07976353913545609
3,method_2,0.89,51,0.07525859028100967
3,method_2,0.9,54,0.07212438434362411
3,method_2,0.91,57,0.05867856368422508
3,method_2,0.9199999999999999,60,0.05631987750530243
3,method_2,0.9299999999999999,64,0.0508861318230629
3,method_2,0.94,69,0.046588074415922165
3,method_2,0.95,74,0.03251022472977638
3,method_2,0.96,80,0.02803928591310978
3,method_2,0.97,86,0.021135853603482246
3,method_2,0.98,95,0.013949684798717499
3,method_2,0.99,107,0.005846198182553053
3,method_3,0.5,3,0.34767743945121765
3,method_3,0.51,4,0.3427826762199402
3,method_3,0.52,4,0.3427826762199402
3,method_3,0.53,4,0.3427826762199402
3,method_3,0.54,5,0.2909058928489685
3,method_3,0.55,5,0.2909058928489685
3,method_3,0.56,6,0.2731790542602539
3,method_3,0.5700000000000001,6,0.2731790542602539
3,method_3,0.58,6,0.2731790542602539
3,method_3,0.59,7,0.26225340366363525
3,method_3,0.6,7,0.26225340366363525
3,method_3,0.61,8,0.25074729323387146
3,method_3,0.62,8,0.25074729323387146
3,method_3,0.63,9,0.23547232151031494
3,method_3,0.64,10,0.20415839552879333
3,method_3,0.65,10,0.20415839552879333
3,method_3,0.66,11,0.20033088326454163
3,method_3,0.67,12,0.19513039290905
3,method_3,0.6799999999999999,13,0.18704211711883545
3,method_3,0.69,14,0.17146903276443481
3,method_3,0.7,14,0.17146903276443481
3,method_3,0.71,15,0.16551493108272552
3,method_3,0.72,16,0.16347837448120117
3,method_3,0.73,17,0.16549132764339447
3,method_3,0.74,19,0.16609102487564087
3,method_3,0.75,20,0.16373516619205475
3,method_3,0.76,21,0.16144442558288574
3,method_3,0.77,22,0.15822449326515198
3,method_3,0.78,24,0.15771687030792236
3,method_3,0.79,25,0.15292255580425262
3,method_3,0.8,26,0.15054447948932648
3,method_3,0.81,28,0.1455283761024475
3,method_3,0.8200000000000001,29,0.1461239904165268
3,method_3,0.8300000000000001,31,0.137649267911911
3,method_3,0.8400000000000001,33,0.1341111809015274
3,method_3,0.8500000000000001,35,0.1250840276479721
3,method_3,0.86,37,0.12015275657176971
3,method_3,0.87,39,0.11702267080545425
3,method_3,0.88,41,0.11317349970340729
3,method_3,0.89,44,0.1081615537405014
3,method_3,0.9,47,0.10238466411828995
3,method_3,0.91,50,0.09473063796758652
3,method_3,0.9199999999999999,53,0.09406398981809616
3,method_3,0.9299999999999999,57,0.08271214365959167
3,method_3,0.94,61,0.08142104744911194
3,method_3,0.95,66,0.07721272855997086
3,method_3,0.96,72,0.07189769297838211
3,method_3,0.97,79,0.05858053267002106
3,method_3,0.98,89,0.048947032541036606
3,method_3,0.99,103,0.037322334945201874
3,method_4,0.5,8,0.197945699095726
3,method_4,0.51,9,0.18791890144348145
3,method_4,0.52,9,0.18791890144348145
3,method_4,0.53,10,0.15713606774806976
3,method_4,0.54,10,0.15713606774806976
3,method_4,0.55,11,0.14468851685523987
