company,page,k,rmse
CVS,24,45,0.8455581128236158
CVS,25,1,0.776506925968254
CVS,25,45,0.9304205383457724
DWS,1,1,0.6730074384808529
DWS,1,45,0.6523761026031317
DWS,2,1,0.7389215298413043
DWS,2,45,1.822677240159444
DWS,3,1,0.7688993648342265
DWS,3,45,0.9072015206608602
DWS,4,1,0.7792157333317176
DWS,4,45,0.9085842840179736
DWS,5,1,0.7442748190585153
DWS,5,45,0.727031164043183
DWS,6,1,0.7530532884765643
DWS,6,45,3.8675487141917686
DWS,7,1,0.7543142537322189
DWS,7,45,1.1913444219783063
DWS,8,1,0.8261358270981101
DWS,8,45,1.8391360147413296
DWS,9,1,0.7568603342051679
DWS,9,45,0.7859729408094432
DWS,10,1,0.7836474813187225
DWS,10,45,7.490070334599586
DWS,11,1,0.7798076288913269
DWS,11,45,0.9461151455609632
DWS,12,1,0.7969619626416509
DWS,12,45,2.4398759008184276
DWS,13,1,0.7504492663165657
DWS,13,45,0.8130805542361133
DWS,14,1,0.8046271986271702
DWS,14,45,2.1622255073792234
DWS,15,1,0.7282335018456748
DWS,15,45,0.8425122781802961
DWS,16,1,0.7669260957098489
DWS,16,45,3.318583235078189
DWS,17,1,0.7448652546180282
DWS,17,45,2.4687958355541975
DWS,18,1,0.7347118238254308
DWS,18,45,1.466070060306523
DWS,19,1,0.7718263292279165
DWS,19,45,2.1850061810161856
DWS,20,1,0.7825555921134686
DWS,20,45,1.1142734601084217
DWS,21,1,0.7500118675356523
DWS,21,45,0.7846358767921631
DWS,22,1,0.7443031992109841
DWS,22,45,31.56270421633701
DWS,23,1,0.7484708630637441
DWS,23,45,0.8457932186596598
DWS,24,1,0.7618083578326855
DWS,24,45,1.218595578695837
DWS,25,1,0.7864643969998073
DWS,25,45,1.324062404993018
Entain,1,1,0.6757147313304106
Entain,1,45,0.8016019759762746
Entain,2,1,0.786324584474672
Entain,2,45,0.7287566822430901
Entain,3,1,0.7350129033243392
Entain,3,45,0.8114734800979715
Entain,4,1,0.7549140404220384
Entain,4,45,0.8919819451841429
Entain,5,1,0.7693612321045267
Entain,5,45,0.8216992106994441
Entain,6,1,0.7873376382999943
Entain,6,45,0.8433051364915438
Entain,7,1,0.7312428897474343
Entain,7,45,0.8258831935617557
Entain,8,1,0.7375663656481821
Entain,8,45,0.8673294971328022
Entain,9,1,0.7628808868756767
Entain,9,45,0.9538706209840259
Entain,10,1,0.7352199115768093
Entain,10,45,0.7248771360439276
Entain,11,1,0.7613479790276042
Entain,11,45,0.8889375257181528
Entain,12,1,0.7644139940891442
Entain,12,45,0.8909153641013717
Entain,13,1,0.7669189097341517
Entain,13,45,0.7833517495875274
Entain,14,1,0.745691039733548
Entain,14,45,0.6616595624620184
Entain,15,1,0.7892308486281167
Entain,15,45,0.8792837217053169
Entain,16,1,0.7495374455824547
Entain,16,45,0.7839821344643214
Entain,17,1,0.7439578990868424
Entain,17,45,0.9780379520683374
Entain,18,1,0.7513819020871386
Entain,18,45,1.0352099267148627
Entain,19,1,0.7508738637105915
Entain,19,45,0.9147461089211745
Entain,20,1,0.766869630793855
Entain,20,45,1.186245309760492
Entain,21,1,0.7990867799990663
Entain,21,45,0.7619365004157972
Entain,22,1,0.7518755588815829
Entain,22,45,0.7548782859475826
Entain,23,1,0.7449972922190081
Entain,23,45,0.9099464150850735
Entain,24,1,0.7798645968535283
Entain,24,45,0.7855482338311978
Entain,25,1,0.7807195447084655
Entain,25,45,0.8981046720466286
