-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Runtime Triggered Module Loading         2.17%     351.418ms         2.17%     351.418ms       3.905ms        5.111s        52.22%        5.111s      56.786ms           0 B           0 B           0 B           0 B            90  
                                  Lazy Function Loading         0.04%       7.124ms         0.04%       7.124ms      67.848us        4.312s        44.05%        4.312s      41.064ms           0 B           0 B           0 B           0 B           105  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        3.390s        34.63%        3.390s      10.970ms           0 B           0 B           0 B           0 B           309  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.867s        19.08%        1.867s      37.934us           0 B           0 B           0 B           0 B         49224  
                                           aten::matmul         0.53%      85.664ms         3.31%     534.997ms      60.948us       0.000us         0.00%        1.306s     148.835us           0 B           0 B       2.96 GB     -16.00 KB          8778  
                                           aten::linear         0.19%      31.183ms         2.40%     387.095ms      57.424us       0.000us         0.00%        1.264s     187.539us           0 B           0 B       3.24 GB           0 B          6741  
                                               aten::mm         0.64%     103.451ms         1.09%     176.711ms      37.399us        1.220s        12.46%        1.226s     259.493us           0 B           0 B       1.48 GB       1.48 GB          4725  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us     876.118ms         8.95%     876.118ms       6.684us           0 B           0 B           0 B           0 B        131072  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     806.597ms         8.24%     806.597ms       2.791ms           0 B           0 B           0 B           0 B           289  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us     585.502ms         5.98%     585.502ms       4.467us           0 B           0 B           0 B           0 B        131072  
void geqr2_smem_domino_fast<float, float, 8, 512>(in...         0.00%       0.000us         0.00%       0.000us       0.000us     531.075ms         5.43%     531.075ms     518.628us           0 B           0 B           0 B           0 B          1024  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.02%       3.800ms         0.07%      11.048ms       3.657us       0.000us         0.00%     479.237ms     158.635us           0 B           0 B           0 B           0 B          3021  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     401.604ms         4.10%     401.604ms     124.722us           0 B           0 B           0 B           0 B          3220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 16.158s
Self CUDA time total: 9.787s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         4.27%     775.141ms       100.00%       18.143s        9.072s       0.000us         0.00%       32.192s       16.096s     691.51 MB     -23.71 MB     546.91 MB     -21.86 GB             2  
                                       aten::linalg_svd         0.00%     346.949us        35.37%        6.418s     200.568ms       0.000us         0.00%       30.258s     945.557ms           0 B           0 B     351.30 MB           0 B            32  
                                      aten::_linalg_svd         2.35%     426.971ms        35.37%        6.418s     200.558ms        4.836s        44.26%       30.258s     945.557ms           0 B      -4.00 KB     351.30 MB      65.29 MB            32  
                                       cudaLaunchKernel        15.10%        2.740s        17.27%        3.133s       5.539us       3.904us         0.00%       13.880s      24.539us           0 B           0 B           0 B           0 B        565625  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       10.346s        94.69%       10.346s       10.346s           0 B           0 B           0 B           0 B             1  
                                           Buffer Flush         0.06%      10.204ms         0.06%      10.271ms     174.090us        8.013s        73.34%        8.013s     135.811ms           0 B           0 B      76.50 KB      76.50 KB            59  
                                Activity Buffer Request         0.55%     100.364ms         0.55%     100.364ms       1.825ms        6.906s        63.20%        6.906s     125.562ms           0 B           0 B           0 B           0 B            55  
                       Runtime Triggered Module Loading         2.03%     368.659ms         2.03%     368.659ms       4.096ms        5.702s        52.18%        5.702s      63.350ms           0 B           0 B           0 B           0 B            90  
                                  Lazy Function Loading         0.03%       4.949ms         0.03%       4.949ms      47.591us        4.810s        44.02%        4.810s      46.251ms           0 B           0 B           0 B           0 B           104  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        4.165s        38.12%        4.165s      13.478ms           0 B           0 B           0 B           0 B           309  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.872s        17.14%        1.872s      37.825us           0 B           0 B           0 B           0 B         49504  
                                           aten::matmul         0.68%     123.651ms         3.57%     648.501ms      73.878us       0.000us         0.00%        1.382s     157.447us           0 B           0 B       3.48 GB           0 B          8778  
                                           aten::linear         0.22%      40.470ms         2.59%     470.389ms      69.780us       0.000us         0.00%        1.331s     197.497us           0 B           0 B       3.65 GB           0 B          6741  
                                               aten::mm         0.67%     120.881ms         1.09%     198.026ms      41.910us        1.284s        11.75%        1.291s     273.212us           0 B           0 B       1.68 GB       1.68 GB          4725  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us     992.888ms         9.09%     992.888ms       7.575us           0 B           0 B           0 B           0 B        131072  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     874.247ms         8.00%     874.247ms       3.025ms           0 B           0 B           0 B           0 B           289  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us     657.435ms         6.02%     657.435ms       5.016us           0 B           0 B           0 B           0 B        131072  
void geqr2_smem_domino_fast<float, float, 8, 1024>(i...         0.00%       0.000us         0.00%       0.000us       0.000us     561.900ms         5.14%     561.900ms     548.731us           0 B           0 B           0 B           0 B          1024  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.03%       4.611ms         0.06%      11.280ms       3.734us       0.000us         0.00%     534.635ms     176.973us           0 B           0 B           0 B           0 B          3021  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     401.710ms         3.68%     401.710ms     124.755us           0 B           0 B           0 B           0 B          3220  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 18.144s
Self CUDA time total: 10.926s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         3.82%     656.482ms        99.98%       17.205s        8.602s       0.000us         0.00%       30.849s       15.424s     544.43 MB     -21.17 MB     487.57 MB     -18.85 GB             2  
