-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::add         0.41%      71.201ms         0.72%     124.553ms      26.227us      11.834ms         0.12%      11.880ms       2.501us         256 B         264 B     450.57 MB     450.57 MB          4749  
                                              aten::pow         0.17%      30.143ms         0.42%      72.917ms      53.302us       3.523ms         0.03%       3.561ms       2.603us         256 B         260 B     539.38 MB     539.38 MB          1368  
                                               aten::gt         0.00%     482.122us         0.00%     590.756us     147.689us       0.000us         0.00%       0.000us       0.000us         128 B         136 B           0 B           0 B             4  
                                      aten::bitwise_not         0.01%       1.097ms         0.01%       1.590ms      44.174us      77.538us         0.00%      79.970us       2.221us         128 B         128 B       7.83 MB       7.83 MB            36  
                                               aten::lt         0.07%      12.939ms         0.11%      18.900ms      29.439us       1.723ms         0.02%       1.726ms       2.688us          64 B          68 B     544.00 KB     544.00 KB           642  
                                           Buffer Flush         0.06%      10.114ms         0.06%      10.154ms     178.141us        8.176s        80.67%        8.176s     143.438ms           8 B           8 B     -15.50 KB     -15.50 KB            57  
                                  cudaDeviceSynchronize         0.00%     386.038us         0.00%     386.038us      11.030us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            35  
                                Activity Buffer Request         0.52%      89.365ms         0.52%      89.365ms       1.686ms        7.205s        71.09%        7.205s     135.942ms           0 B           0 B           0 B           0 B            53  
                                           aten::detach         0.02%       3.207ms         0.04%       6.247ms       4.028us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1551  
                                                 detach         0.02%       3.040ms         0.02%       3.040ms       1.960us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1551  
                                          aten::normal_         0.01%       1.497ms         0.03%       5.061ms       5.061ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                          prims::normal         0.00%     118.973us         0.00%     139.275us     139.275us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 17.321s
Self CUDA time total: 10.136s

