company,page,method,k,rmse
Barclays,3,method_4,61,0.14361948992103726
Barclays,3,method_4,64,0.1373865926472356
Barclays,3,method_4,67,0.12835377149498128
Barclays,3,method_4,70,0.122901829292807
Barclays,3,method_4,73,0.11560178692171572
Barclays,3,method_4,77,0.1052462911526615
Barclays,3,method_4,80,0.09960963891240825
Barclays,3,method_4,83,0.0960418455085213
Barclays,3,method_4,86,0.08945327477144054
Barclays,3,method_4,89,0.08085312963073789
Barclays,3,method_4,92,0.07581493379024433
Barclays,3,method_4,95,0.0695581931446295
Barclays,3,method_4,98,0.06637331412152744
Barclays,3,method_4,101,0.06061192165006646
Barclays,3,method_4,104,0.05463184572223928
Barclays,3,method_4,107,0.04960538159330574
Barclays,3,method_4,110,0.04413228972328922
Barclays,3,method_4,113,0.03866205099809248
Barclays,3,method_4,116,0.03469898250015512
Barclays,3,method_4,119,0.029021104247283398
Barclays,3,method_4,122,0.024854618639138907
Barclays,3,method_4,125,0.012857278387262288
Barclays,3,method_4,128,1.882592029821286e-05
Barclays,3,method_4,131,1.882592029821286e-05
Barclays,3,method_4,134,1.882592029821286e-05
Barclays,3,method_4,137,1.882592029821286e-05
Barclays,3,method_4,140,1.882592029821286e-05
Barclays,3,method_4,143,1.882592029821286e-05
Barclays,3,method_4,146,1.882592029821286e-05
Barclays,3,method_4,150,1.882592029821286e-05
Barclays,4,method_1,1,0.5138193422466638
Barclays,4,method_1,4,0.5178650411079269
Barclays,4,method_1,7,0.4489147281295442
Barclays,4,method_1,10,0.4327031722076225
Barclays,4,method_1,13,0.40304332911447877
Barclays,4,method_1,16,0.3956663209916807
Barclays,4,method_1,19,0.3999604338764308
Barclays,4,method_1,22,0.3594539043473324
Barclays,4,method_1,25,0.3565677553161349
Barclays,4,method_1,28,0.3267884749186047
Barclays,4,method_1,31,0.3311978435807946
Barclays,4,method_1,34,0.2891805329984579
Barclays,4,method_1,37,0.2831441332781366
Barclays,4,method_1,40,0.272282300355161
Barclays,4,method_1,43,0.27078432895276044
Barclays,4,method_1,46,0.270977554141043
Barclays,4,method_1,49,0.25329454508212934
Barclays,4,method_1,52,0.25892333018200053
Barclays,4,method_1,55,0.2602530919635056
Barclays,4,method_1,58,0.2552727688736535
Barclays,4,method_1,61,0.24521591282932934
Barclays,4,method_1,64,0.236232298645824
Barclays,4,method_1,67,0.2196308672300147
Barclays,4,method_1,70,0.22278107859796092
Barclays,4,method_1,73,0.20286499469221742
