page,method,k,rmse,cos_sim
7,method_4,40,0.022706206098861106,0.9782716631889343
7,method_4,43,0.02146635871535835,0.9806026220321655
7,method_4,46,0.019939911936507838,0.9832859039306641
7,method_4,49,0.01878092349744713,0.9851865768432617
7,method_4,52,0.018051079744290977,0.986323356628418
7,method_4,55,0.01735306666640861,0.9873672723770142
7,method_4,58,0.01659723797039023,0.9884501099586487
7,method_4,61,0.015229125276073537,0.9902846813201904
7,method_4,64,0.014329389702064155,0.9914035797119141
7,method_4,67,0.013446527031745868,0.9924341440200806
7,method_4,70,0.01256725020356823,0.9933944940567017
7,method_4,73,0.011564007963617114,0.9944099187850952
7,method_4,77,0.01089774252987679,0.9950370192527771
7,method_4,80,0.009991063915441844,0.9958301186561584
7,method_4,83,0.00921050340461293,0.9964573383331299
7,method_4,86,0.008553368787120959,0.9969456195831299
7,method_4,89,0.007770527562024872,0.9974797964096069
7,method_4,92,0.007323526309977823,0.9977617859840393
7,method_4,95,0.006713209878649941,0.998119592666626
7,method_4,98,0.006320250304586401,0.9983334541320801
7,method_4,101,0.006015579230038425,0.9984903931617737
7,method_4,104,0.0053739375949371825,0.9987954497337341
7,method_4,107,0.004663417285423611,0.9990929365158081
7,method_4,110,0.004107080794487265,0.9992965459823608
7,method_4,113,0.0035699755754181003,0.9994685053825378
7,method_4,116,0.0029371077289668166,0.9996404051780701
7,method_4,119,0.0025506685943228946,0.999728798866272
7,method_4,122,0.002098436759338928,0.9998164772987366
7,method_4,125,0.0016474557508631197,0.9998868703842163
7,method_4,128,1.7246950005675185e-06,1.0
7,method_4,131,1.7246950005675185e-06,1.0
7,method_4,134,1.7246950005675185e-06,1.0
7,method_4,137,1.7246950005675185e-06,1.0
7,method_4,140,1.7246950005675185e-06,1.0
7,method_4,143,1.7246950005675185e-06,1.0
7,method_4,146,1.7246950005675185e-06,1.0
7,method_4,150,1.7246950005675185e-06,1.0
8,method_1,1,0.05852363086335454,0.8181523680686951
8,method_1,4,0.05326113928216305,0.8520367741584778
8,method_1,7,0.04954454323338244,0.8734422922134399
8,method_1,10,0.046530565785526355,0.8895256519317627
8,method_1,13,0.042891386677626764,0.9068543910980225
8,method_1,16,0.041186017088160304,0.9144519567489624
8,method_1,19,0.03996471591092326,0.9197112917900085
8,method_1,22,0.038596481827912414,0.9254795908927917
8,method_1,25,0.03753190359849551,0.9296313524246216
8,method_1,28,0.03615405128646595,0.934783399105072
8,method_1,31,0.035020599657431165,0.9388972520828247
8,method_1,34,0.03352912228131575,0.944114089012146
8,method_1,37,0.03166997969531234,0.9503085613250732
8,method_1,40,0.03047640789062928,0.954063892364502
8,method_1,43,0.02960992098923901,0.9566974639892578
