method,k,mean,std,min,max
method_2,64,0.2082538696999501,0.031366902835418695,0.10084168777337796,0.2796034122388864
method_2,67,0.19760185510624897,0.029924899731389752,0.09328500767154974,0.2654542268516485
method_2,70,0.18763837725391072,0.029868655159386,0.08880013083432732,0.2502736034843562
method_2,73,0.1758632086653001,0.028578674672653057,0.0818640790808367,0.2446458574409794
method_2,77,0.16266427495458863,0.027826808170472082,0.06763697635252366,0.24552209123880053
method_2,80,0.15243051251521725,0.026148540659915467,0.05955268481520232,0.23344068918511132
method_2,83,0.1431766456842494,0.02579696443331135,0.045799059374110856,0.21128669632032793
method_2,86,0.13360689444298618,0.025794243628985372,0.03871289269097079,0.22147960834791894
method_2,89,0.12471128482133173,0.025323472285935466,0.03333249452425234,0.22922207313964324
method_2,92,0.11608983330434897,0.02437903353160353,0.02912154936009607,0.20989477428262093
method_2,95,0.10677462477986299,0.023205844859815448,0.023853820015214484,0.18634602190434887
method_2,98,0.0978523531215064,0.022278650433871026,0.021143290218345604,0.1860491661570525
method_2,101,0.08882514979547461,0.020678228502913155,0.016390394113403234,0.15714283499824525
method_2,104,0.0802942162895347,0.019086795816764056,0.014423798233456612,0.1405493140682321
method_2,107,0.07135228147474261,0.017335846961081848,0.01109834337407592,0.13277734318473275
method_2,110,0.06247267051399806,0.015928692023947436,0.008270133558788072,0.12635440033835
method_2,113,0.05404270253435945,0.014581853594000816,0.006829964949632826,0.11239852455408572
method_2,116,0.04540530521531423,0.012266099447281822,0.003878143360027059,0.07075318179977584
method_2,119,0.035961916986698705,0.010015746452600347,0.0010891251589136253,0.05938469769304059
method_2,122,0.02576334439255799,0.007308554505458857,1.798889904927932e-05,0.04475682936953147
method_2,125,0.0159325250358088,0.004742345073457149,1.7089339234790644e-05,0.02730751476255223
method_2,128,2.570715027642007e-05,3.417626955892338e-06,1.670103820363092e-05,3.36623428053431e-05
method_2,131,2.570715027642007e-05,3.417626955892338e-06,1.670103820363092e-05,3.36623428053431e-05
method_2,134,2.570715027642007e-05,3.417626955892338e-06,1.670103820363092e-05,3.36623428053431e-05
method_2,137,2.570715027642007e-05,3.417626955892338e-06,1.670103820363092e-05,3.36623428053431e-05
method_2,140,2.570715027642007e-05,3.417626955892338e-06,1.670103820363092e-05,3.36623428053431e-05
method_2,143,2.570715027642007e-05,3.417626955892338e-06,1.670103820363092e-05,3.36623428053431e-05
method_2,146,2.570715027642007e-05,3.417626955892338e-06,1.670103820363092e-05,3.36623428053431e-05
method_2,150,2.570715027642007e-05,3.417626955892338e-06,1.670103820363092e-05,3.36623428053431e-05
method_3,1,0.7541377914567652,0.025726811576461922,0.6808651162164149,0.837204457263356
method_3,4,0.5555372976203292,0.043079858003725414,0.4382200855031161,0.7086834898905732
method_3,7,0.4995673650575074,0.03975312498774465,0.40462944378780924,0.6823797725883046
method_3,10,0.47567718797166175,0.039220095186084006,0.3860720410408946,0.650840050117557
method_3,13,0.44671385114657725,0.036784482085664774,0.347447125626303,0.5749913112897141
method_3,16,0.4221521837607879,0.03395221603565858,0.3272426809827623,0.5521904481694736
method_3,19,0.4051412303638261,0.034345498471665174,0.30622996154069315,0.5144122100120874
method_3,22,0.3893455374360876,0.034187260837937744,0.28813045637114093,0.5001440861399579
method_3,25,0.37519353689099216,0.03498147586025705,0.27370826904022416,0.4909622836397983
method_3,28,0.36215948795889724,0.035707541381896926,0.2452115210042532,0.4993514457083253
method_3,31,0.35061321855024685,0.03406578937044883,0.23696843177821506,0.47120305071572727
method_3,34,0.33970652970947257,0.03385445006547517,0.21797372393081668,0.4539829601549259
method_3,37,0.3287275567892644,0.0342282559074844,0.20804551291839252,0.44016587387509504
method_3,40,0.3201802366112058,0.03510308799116642,0.19219406171710693,0.42353167792725005
method_3,43,0.31163139778224486,0.035827803693919406,0.1869102801034674,0.41334835578424955
method_3,46,0.303100448363931,0.03558524397071866,0.18278166567754325,0.3956988989023961
method_3,49,0.2952084164265303,0.035234552144026265,0.17706251703732703,0.38333913443640083
method_3,52,0.2868175116513541,0.0339305014886512,0.17161527999903817,0.3711609123153461
method_3,55,0.27825255513378055,0.03369678658312213,0.15520465616559248,0.3517403145657138
method_3,58,0.27097574328468454,0.03365643621903299,0.15620466482117892,0.3403995495339997
