page,method,k,rmse,cos_sim
2,method_3,86,0.019024775293287898,0.9839044809341431
2,method_3,89,0.018276894162036112,0.9851438999176025
2,method_3,92,0.01793946959235734,0.9857017993927002
2,method_3,95,0.017387623636804482,0.9865401387214661
2,method_3,98,0.016935244432213947,0.9872328042984009
2,method_3,101,0.016864501788668402,0.9873393177986145
2,method_3,104,0.016307124518553706,0.9881662130355835
2,method_3,107,0.015912458096350803,0.9887363910675049
2,method_3,110,0.015263865580095407,0.9896402955055237
2,method_3,113,0.01462343038413606,0.9904968738555908
2,method_3,116,0.014044952268246636,0.9912370443344116
2,method_3,119,0.013607678024760579,0.9917747974395752
2,method_3,122,0.013321024991547298,0.9921194314956665
2,method_3,125,0.012924491581656879,0.9925830364227295
2,method_3,128,0.012580170620556174,0.9929744005203247
2,method_3,131,0.011632796563812648,0.993995726108551
2,method_3,134,0.010983314365703867,0.9946491718292236
2,method_3,137,0.010483362079436493,0.9951265454292297
2,method_3,140,0.009974992060336979,0.9955887794494629
2,method_3,143,0.00940421101235323,0.9960798621177673
2,method_3,146,0.00901235852819736,0.9964004158973694
2,method_3,150,0.00825997712302473,0.9969772696495056
2,method_4,1,0.08282711050865557,0.6269098520278931
2,method_4,4,0.054309305733759965,0.8596720099449158
2,method_4,7,0.04360823365473899,0.912000298500061
2,method_4,10,0.03814294717529973,0.9334213733673096
2,method_4,13,0.03331921247777346,0.9496183395385742
2,method_4,16,0.030287083887955535,0.9585608839988708
2,method_4,19,0.028008433186132366,0.9646719694137573
2,method_4,22,0.026597814672283736,0.9681979417800903
2,method_4,25,0.024726262683994242,0.9725769758224487
2,method_4,28,0.023167767962095555,0.9759663343429565
2,method_4,31,0.021954432851338967,0.9784446954727173
2,method_4,34,0.020896414409291776,0.9804924726486206
2,method_4,37,0.019182416757883212,0.9835869669914246
2,method_4,40,0.018389737229525104,0.9849255084991455
2,method_4,43,0.017533525538637972,0.9863060712814331
2,method_4,46,0.016145250006426207,0.988400936126709
2,method_4,49,0.015253111259775035,0.9896539449691772
2,method_4,52,0.01447428856587967,0.9906883835792542
2,method_4,55,0.013648934041705382,0.9917242527008057
2,method_4,58,0.012856494176897085,0.9926608800888062
2,method_4,61,0.011882792391703595,0.9937337636947632
2,method_4,64,0.011158258157739954,0.9944766759872437
2,method_4,67,0.010448480879721176,0.9951586723327637
2,method_4,70,0.009656713055453636,0.995866060256958
2,method_4,73,0.009119689852381244,0.9963138103485107
2,method_4,77,0.008336522749221401,0.9969207644462585
2,method_4,80,0.007313384297827786,0.9976310133934021
2,method_4,83,0.006925896742802304,0.9978755712509155
2,method_4,86,0.006523750231293656,0.9981154203414917
2,method_4,89,0.006095376846840136,0.998354971408844
2,method_4,92,0.005531708604402358,0.9986453056335449
2,method_4,95,0.005067683358980512,0.9988633394241333
2,method_4,98,0.004700296461001571,0.9990220665931702
2,method_4,101,0.004310122606083669,0.9991777539253235
2,method_4,104,0.003883030170900894,0.9993326663970947
2,method_4,107,0.00356467717630886,0.999437689781189
2,method_4,110,0.003148991580467324,0.9995611906051636
2,method_4,113,0.002746215603810151,0.9996662139892578
2,method_4,116,0.002285365838593568,0.999768853187561
2,method_4,119,0.0019271129370398471,0.9998356699943542
